"","team","season","name","situation","games_played","distance","division","xGoalsPercentage","corsiPercentage","fenwickPercentage","flurryAdjustedxGoalsFor","flurryAdjustedxGoalsAgainst","blockedShotAttemptsFor","blockedShotAttemptsAgainst","shotsOnGoalFor","shotsOnGoalAgainst","missedShotsFor","missedShotsAgainst","goalsFor","goalsAgainst","reboundsFor","reboundsAgainst","reboundGoalsFor","reboundGoalsAgainst","freezeFor","freezeAgainst","savedShotsOnGoalFor","savedShotsOnGoalAgainst","penaltiesFor","penaltiesAgainst","faceOffPercentage","hitsFor","hitsAgainst","takeawaysFor","takeawaysAgainst","giveawaysFor","giveawaysAgainst","lowDangerShotsFor","lowDangerShotsAgainst","mediumDangerShotsFor","mediumDangerShotsAgainst","highDangerShotsFor","highDangerShotsAgainst","savePercentage","allDangerShotsFor"
"1","PIT","2017","PIT","other",12,"Eliminated in Round 2","Metropolitan",0.44,0.53,0.53,0.395833333333333,0.490833333333333,0.916666666666667,0.833333333333333,2.16666666666667,1.66666666666667,0.666666666666667,0.833333333333333,0.5,0.5,0.25,0.166666666666667,0,1,0.666666666666667,0.25,1.66666666666667,1.16666666666667,0.333333333333333,0.416666666666667,0.591836734693878,0.75,1.58333333333333,0.25,0.25,0.416666666666667,0.416666666666667,1.41666666666667,1.41666666666667,0.833333333333333,0.416666666666667,0.583333333333333,0.666666666666667,0.7,2.83333333333333
"2","PIT","2017","PIT","all",12,"Eliminated in Round 2","Metropolitan",0.52,0.51,0.52,2.73083333333333,2.55666666666667,14.8333333333333,16.9166666666667,29.0833333333333,26.5833333333333,12.75,11.5833333333333,3.5,2.83333333333333,2.33333333333333,1.41666666666667,0.416666666666667,5,7.33333333333333,5.91666666666667,25.5833333333333,23.75,3.91666666666667,4.5,0.526695526695527,30.25,37.75,6.91666666666667,6.08333333333333,9.83333333333333,9.33333333333333,31.1666666666667,28.6666666666667,8.08333333333333,7.16666666666667,2.58333333333333,2.33333333333333,0.893416927899687,41.8333333333333
"3","PIT","2017","PIT","5on5",12,"Eliminated in Round 2","Metropolitan",0.53,0.51,0.52,1.765,1.5675,11.6666666666667,13.4166666666667,22.0833333333333,20.0833333333333,9.75,9,2.33333333333333,1.75,1.58333333333333,0.916666666666667,0.166666666666667,3,6.08333333333333,5.08333333333333,19.75,18.3333333333333,3.08333333333333,3.75,0.514450867052023,27.5833333333333,33.8333333333333,5.91666666666667,4.91666666666667,7.25,7.66666666666667,24.25,22.6666666666667,6.16666666666667,5.33333333333333,1.41666666666667,1.08333333333333,0.912863070539419,31.8333333333333
"4","PIT","2017","PIT","4on5",12,"Eliminated in Round 2","Metropolitan",0.05,0.11,0.14,0.02,0.410833333333333,0.0833333333333333,2.33333333333333,0.666666666666667,3.16666666666667,0.0833333333333333,1.58333333333333,0,0.5,0,0.0833333333333333,0,0,0,0.416666666666667,0.666666666666667,2.66666666666667,0.0833333333333333,0.25,0.63265306122449,1.5,0.833333333333333,0.583333333333333,0.25,0.75,0.916666666666667,0.666666666666667,3.16666666666667,0.0833333333333333,1.16666666666667,0,0.416666666666667,0.842105263157895,0.75
"5","PIT","2017","PIT","5on4",12,"Eliminated in Round 2","Metropolitan",0.86,0.8,0.78,0.55,0.0866666666666667,2.16666666666667,0.333333333333333,4.16666666666667,1.66666666666667,2.25,0.166666666666667,0.666666666666667,0.0833333333333333,0.5,0.25,0.25,1,0.583333333333333,0.166666666666667,3.5,1.58333333333333,0.416666666666667,0.0833333333333333,0.5,0.416666666666667,1.5,0.166666666666667,0.666666666666667,1.41666666666667,0.333333333333333,4.83333333333333,1.41666666666667,1,0.25,0.583333333333333,0.166666666666667,0.95,6.41666666666667
"6","NSH","2017","NSH","other",13,"Eliminated in Round 2","Central",0.52,0.48,0.49,0.526153846153846,0.501538461538461,0.846153846153846,1,1.69230769230769,2.15384615384615,0.923076923076923,0.538461538461538,0.461538461538462,1.07692307692308,0.230769230769231,0.0769230769230769,0.153846153846154,0,0.307692307692308,0.461538461538462,1.23076923076923,1.07692307692308,0,0,0.39622641509434,0.615384615384615,0.692307692307692,0.461538461538462,0,0.230769230769231,0.307692307692308,1.61538461538462,1.53846153846154,0.230769230769231,0.307692307692308,0.769230769230769,0.846153846153846,0.5,2.61538461538462
"7","NSH","2017","NSH","all",13,"Eliminated in Round 2","Central",0.52,0.53,0.54,3.19615384615385,2.98230769230769,17.1538461538462,16.3076923076923,35.8461538461538,31.5384615384615,13.6923076923077,11,3.15384615384615,3.23076923076923,2.46153846153846,2.07692307692308,0.461538461538462,5,8.61538461538461,7.76923076923077,32.6923076923077,28.3076923076923,4,3.76923076923077,0.550776583034648,26.2307692307692,24.7692307692308,8.84615384615385,6.07692307692308,12.3846153846154,9.84615384615385,38,31.6923076923077,8.38461538461539,7.76923076923077,3.15384615384615,3.07692307692308,0.897560975609756,49.5384615384615
"8","NSH","2017","NSH","5on5",13,"Eliminated in Round 2","Central",0.51,0.52,0.53,2.07615384615385,2.01538461538462,14.1538461538462,14.0769230769231,28.3076923076923,25.2307692307692,11.1538461538462,9.69230769230769,2.07692307692308,1.84615384615385,2.07692307692308,1.69230769230769,0.307692307692308,4,6.92307692307692,6.07692307692308,26.2307692307692,23.3846153846154,3.38461538461538,3.07692307692308,0.556414219474498,24,22.6923076923077,7.61538461538461,5.84615384615385,11,8,31.5384615384615,26.6923076923077,6.23076923076923,6.38461538461539,1.69230769230769,1.84615384615385,0.926829268292683,39.4615384615385
"9","NSH","2017","NSH","4on5",13,"Eliminated in Round 2","Central",0.19,0.29,0.33,0.108461538461538,0.45,0.153846153846154,1.15384615384615,1.76923076923077,3.53846153846154,0.307692307692308,0.769230769230769,0.0769230769230769,0.307692307692308,0.0769230769230769,0.307692307692308,0,1,0.153846153846154,1.07692307692308,1.69230769230769,3.23076923076923,0.461538461538462,0.538461538461538,0.544117647058823,1.23076923076923,0.538461538461538,0.692307692307692,0.0769230769230769,0.384615384615385,0.923076923076923,1.46153846153846,2.92307692307692,0.538461538461538,1,0.0769230769230769,0.384615384615385,0.91304347826087,2.07692307692308
"10","NSH","2017","NSH","5on4",13,"Eliminated in Round 2","Central",0.97,0.91,0.9,0.483846153846154,0.0146153846153846,2,0.0769230769230769,4.07692307692308,0.615384615384615,1.30769230769231,0,0.538461538461538,0,0.0769230769230769,0,0,0,1.23076923076923,0.153846153846154,3.53846153846154,0.615384615384615,0.153846153846154,0.153846153846154,0.623188405797101,0.384615384615385,0.846153846153846,0.0769230769230769,0.153846153846154,0.769230769230769,0.615384615384615,3.38461538461538,0.538461538461538,1.38461538461538,0.0769230769230769,0.615384615384615,0,1,5.38461538461539
"11","NJD","2017","N.J","other",5,"Eliminated in Round 1","Metropolitan",0.59,0.69,0.69,0.624,0.464,1,0.4,3.6,1.6,0.8,0.4,1,0.8,0.6,0.2,0,0,0.8,0.4,2.6,0.8,0,0,0.588235294117647,0.8,1,0.2,0,0.2,0.2,2.4,1,0.8,0.2,1.2,0.8,0.5,4.4
"12","NJD","2017","N.J","all",5,"Eliminated in Round 1","Metropolitan",0.45,0.48,0.48,2.674,3.3,11.2,10.8,34.2,33.8,9.8,14.2,2.4,3.6,2.4,3.2,0,2,4.4,7.4,31.8,30.2,4.6,4.6,0.476190476190476,30.4,30.2,7,7.8,8,6,34.2,35.8,6.6,8.2,3.2,4,0.893491124260355,44
"13","NJD","2017","N.J","5on5",5,"Eliminated in Round 1","Metropolitan",0.43,0.46,0.46,1.458,1.91,7.6,8.6,23,24,7,10.8,1.2,1.8,1.4,2,0,0,3.2,6,21.8,22.2,4.6,4.2,0.484444444444444,27,28,4.6,6.4,6.2,5.2,25,26.6,3.4,6.4,1.6,1.8,0.925,30
"14","NJD","2017","N.J","4on5",5,"Eliminated in Round 1","Metropolitan",0.08,0.09,0.1,0.074,0.866,0,1.8,1.2,7.4,0,3,0,1,0,1,0,2,0,1,1.2,6.4,0,0.2,0.333333333333333,1.6,0.8,1.8,0.2,0.8,0.2,1,7.8,0.2,1.4,0,1.2,0.864864864864865,1.2
"15","NJD","2017","N.J","5on4",5,"Eliminated in Round 1","Metropolitan",0.89,0.93,0.91,0.52,0.06,2.6,0,6.4,0.8,2,0,0.2,0,0.4,0,0,0,0.4,0,6.2,0.8,0,0.2,0.548387096774194,1,0.4,0.4,1.2,0.8,0.4,5.8,0.4,2.2,0.2,0.4,0.2,1,8.4
"16","WSH","2017","WSH","other",24,"Won Stanley Cup Finals","Metropolitan",0.66,0.56,0.6,0.457916666666667,0.2325,0.75,0.875,1.95833333333333,0.916666666666667,0.625,0.833333333333333,0.541666666666667,0.208333333333333,0,0,0,0,0.416666666666667,0.0833333333333333,1.41666666666667,0.708333333333333,0.166666666666667,0.125,0.4875,1,0.708333333333333,0.458333333333333,0.25,0.25,0.125,1.33333333333333,1.08333333333333,0.708333333333333,0.333333333333333,0.541666666666667,0.333333333333333,0.772727272727273,2.58333333333333
"17","WSH","2017","WSH","all",24,"Won Stanley Cup Finals","Metropolitan",0.53,0.5,0.51,2.91708333333333,2.58166666666667,15.75,17.4166666666667,31.75,28.7916666666667,13.0833333333333,14.375,3.58333333333333,2.54166666666667,2.04166666666667,2.41666666666667,0.416666666666667,6,7.25,6.29166666666667,28.1666666666667,26.25,3.91666666666667,3.75,0.491298527443106,32.5416666666667,30.5833333333333,7.95833333333333,9.66666666666667,9.375,9.04166666666667,33.8333333333333,32.25,8.5,8.75,2.5,2.16666666666667,0.911722141823444,44.8333333333333
"18","WSH","2017","WSH","5on5",24,"Won Stanley Cup Finals","Metropolitan",0.51,0.49,0.5,1.88791666666667,1.83333333333333,12.25,14.7083333333333,24.2083333333333,22.875,10.5,11.625,2.16666666666667,1.58333333333333,1.54166666666667,1.75,0.291666666666667,3,5.79166666666667,5.45833333333333,22.0416666666667,21.2916666666667,3.41666666666667,3.125,0.480553154710458,29.8333333333333,28.4583333333333,6.45833333333333,8.41666666666667,7.875,7.79166666666667,26.8333333333333,26.1666666666667,6.45833333333333,7.04166666666667,1.41666666666667,1.29166666666667,0.930783242258652,34.7083333333333
"19","WSH","2017","WSH","4on5",24,"Won Stanley Cup Finals","Metropolitan",0.09,0.13,0.14,0.0508333333333333,0.48375,0.208333333333333,1.83333333333333,0.75,4.33333333333333,0.208333333333333,1.625,0.0416666666666667,0.708333333333333,0.0416666666666667,0.625,0,3,0.0833333333333333,0.708333333333333,0.708333333333333,3.625,0.166666666666667,0.333333333333333,0.569343065693431,1.04166666666667,0.416666666666667,0.458333333333333,0.416666666666667,0.541666666666667,0.666666666666667,0.666666666666667,4.125,0.25,1.29166666666667,0.0416666666666667,0.541666666666667,0.836538461538462,0.958333333333333
"20","WSH","2017","WSH","5on4",24,"Won Stanley Cup Finals","Metropolitan",0.94,0.91,0.87,0.520416666666667,0.0320833333333333,2.54166666666667,0,4.83333333333333,0.666666666666667,1.75,0.291666666666667,0.833333333333333,0.0416666666666667,0.458333333333333,0.0416666666666667,0.125,0,0.958333333333333,0.0416666666666667,4,0.625,0.166666666666667,0.166666666666667,0.508333333333333,0.666666666666667,1,0.583333333333333,0.583333333333333,0.708333333333333,0.458333333333333,5,0.875,1.08333333333333,0.0833333333333333,0.5,0,0.9375,6.58333333333333
