team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ARI,2022,ARI,ARI,Team Level,other,21,0.34,0.32,0.29,2786,21.87,6.06,1.24,3.62,0.75,10.86,8.46,6,6.06,6,22,9,13,44,8,0,0,3,2,8,10,14,23,3,6,24,14,2,7,15,7,9,0.58,1.06,4.42,0,2,6,44,31,31,2,0.36,0,0,6.42,6.42,6.35,54.68,11.62,4.16,10.06,1.72,31.66,17.79,10.78,11.62,10.78,58,19,17,94,6,7,1,12,2,34,16,52,71,0,0,46,11,7,5,46,15,16,1.97,1.92,7.72,1,1,4,94,77,77,2,1.18,2.56,2.56,10.23,10.23,9.67
ARI,2022,ARI,ARI,Team Level,all,21,0.39,0.41,0.41,76232,514.85,52.3,34.91,114.44,16.45,279.85,210.05,48.9,52.82,49.4,507,201,235,943,57,30,3,111,15,210,285,450,651,110,245,564,542,121,196,527,128,53,14.04,16.01,22.25,18,15,24,938.45,708,708.87,120,7.83,4.79,4.79,55.35,55.85,52.84,737.65,83.47,53.6,164.65,24.3,413.12,284.85,78.98,83.05,78.57,733,291,311,1335,73,60,11,176,31,349,335,660,951,94,221,672,479,139,187,690,251,83,22.91,31.74,28.82,22,33,18,1344.27,1024,1024.25,85,12.09,13.49,13.55,82.02,81.61,78.16
ARI,2022,ARI,ARI,Team Level,5on5,21,0.39,0.43,0.43,57219,382.32,30.82,24.86,89.82,12.34,210.57,158.59,30.12,31.34,30.62,369,158,178,705,30,22,3,85,12,164,214,339,497,97,221,425,495,99,157,394,114,19,11.23,14.2,5.4,16,10,4,700.45,527,527.87,103,5.1,4.17,4.17,31.75,32.25,31.84,512.44,47.66,34.99,121.18,16.88,282.92,206.37,46.25,47.24,45.84,514,196,234,944,48,43,8,134,23,227,235,466,662,89,211,472,441,112,153,504,164,42,15.84,20.75,11.07,17,24,7,953.27,710,710.25,77,7.28,8.87,8.93,46.02,45.62,44.82
ARI,2022,ARI,ARI,Team Level,4on5,21,0.07,0.09,0.11,8878,20.53,1.68,0.91,2.91,0.6,5.96,14.95,1.66,1.68,1.66,23,4,1,28,3,0,0,0,0,3,21,20,24,3,6,62,28,17,12,20,4,3,0.6,0.43,0.64,1,1,1,28,27,27,12,0.21,0,0,1.88,1.88,1.87,152.85,22.08,13.38,30.77,5.09,92.34,48.33,19.85,22.08,19.85,139,73,56,268,19,10,2,26,5,84,68,120,193,2,4,85,10,5,20,123,68,21,4.5,8.6,8.98,4,8,7,268,212,212,0,3.38,2.06,2.06,23.4,23.4,21.33
ARI,2022,ARI,ARI,Team Level,5on4,21,0.87,0.85,0.83,7349,90.13,13.75,7.91,18.09,2.75,52.46,28.04,11.12,13.75,11.12,93,30,43,166,16,8,0,23,1,35,40,77,107,7,12,53,5,3,20,98,3,22,1.64,0.33,11.79,1,2,13,166,123,123,3,2.16,0.62,0.62,15.29,15.29,12.78,17.67,2.11,1.07,2.63,0.62,6.2,12.36,2.1,2.11,2.1,22,3,4,29,0,0,0,4,1,4,16,22,25,3,6,69,17,15,9,17,4,4,0.6,0.46,1.05,0,0,0,29,25,25,6,0.24,0,0,2.35,2.35,2.34
VAN,2022,VAN,VAN,Team Level,other,24,0.42,0.48,0.47,2798,30.64,6.7,2.17,5.48,1.05,18.49,10.11,6.53,6.7,6.53,28,16,17,61,7,2,0,4,2,18,11,21,37,1,2,28,8,6,10,28,6,10,0.88,0.74,5.09,1,2,4,61,44,44,3,0.59,0.35,0.35,6.94,6.94,6.75,35.15,9.4,2.38,5.4,1.12,18.56,12.14,8.66,9.4,8.66,34,15,17,66,11,1,1,5,3,19,10,23,38,1,5,33,8,7,5,23,16,10,0.98,1.96,6.46,1,5,5,66,49,49,3,0.66,0.18,0.18,9.88,9.88,9.15
VAN,2022,VAN,VAN,Team Level,all,24,0.45,0.48,0.47,87155,692.5,65.81,48.77,159.72,22.75,394.87,275.08,63.3,66.66,64.09,719,248,341,1308,81,62,11,166,29,302,327,638,886,93,244,689,558,164,171,728,167,72,19.9,20.23,25.69,19,32,30,1323,967,976.68,97,10.78,12.04,12.04,64.56,65.23,63.94,785.54,81.12,54.84,179,25.82,425.32,315.89,77.52,81.41,77.77,793,289,335,1417,92,69,12,152,35,361,373,701,990,102,252,712,475,176,174,763,229,90,22.89,27.96,30.27,25,38,29,1418.87,1082,1085.11,105,12.06,15.25,15.25,77.93,78.21,76.16
VAN,2022,VAN,VAN,Team Level,5on5,24,0.44,0.47,0.46,70867,537.34,44.11,36.05,129.4,17.71,301.99,220.72,42.44,44.97,43.23,567,183,259,1009,52,48,11,142,22,222,264,515,698,85,228,517,529,137,134,573,137,40,16.62,16.68,10.82,16,23,13,1024,750,759.68,86,7.44,9.7,9.8,41.76,42.44,41.84,633.34,56.82,42.88,151.4,20.89,343.88,257.13,54.42,57.11,54.67,640,233,273,1146,58,60,8,129,28,292,306,582,815,94,233,562,451,147,154,640,170,63,18.71,20.82,17.29,19,25,14,1147.87,873,876.11,95,8.92,12.55,12.55,53.19,53.47,52.5
VAN,2022,VAN,VAN,Team Level,4on5,24,0.09,0.09,0.09,6095,10.42,1.32,0.52,1.58,0.29,3.01,6.28,1.27,1.32,1.27,13,0,4,17,1,1,0,1,0,2,8,12,12,3,6,56,12,17,7,8,2,3,0.36,0.28,0.68,1,0,0,17,13,13,7,0.11,0.21,0.21,1.22,1.22,1.19,94.06,12.79,8.45,19.16,3.16,56.23,30.22,12.34,12.79,12.34,96,34,40,170,20,8,3,17,4,45,36,76,110,6,12,68,4,5,9,81,34,15,2.7,4.01,6.08,5,6,9,170,130,130,2,2.21,2.52,2.52,12.48,12.48,12.16
VAN,2022,VAN,VAN,Team Level,5on4,24,0.87,0.86,0.84,7395,114.11,13.68,10.02,23.26,3.7,71.38,37.97,13.06,13.68,13.06,111,49,61,221,21,11,0,19,5,60,44,90,139,4,8,88,9,4,20,119,22,19,2.04,2.53,9.1,1,7,13,221,160,160,1,2.64,1.77,1.68,14.63,14.63,14.16,22.99,2.11,1.13,3.04,0.65,6.65,16.4,2.1,2.11,2.1,23,7,5,35,3,0,0,1,0,5,21,20,27,1,2,49,12,17,6,19,9,2,0.5,1.18,0.44,0,2,1,35,30,30,5,0.27,0,0,2.38,2.38,2.36
