team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2019,NYR,NYR,Team Level,other,3,0.44,0.68,0.71,481,8.43,0.74,0.69,1.75,0.32,6.11,2.38,0.73,0.74,0.73,8,4,1,13,1,0,0,3,0,5,3,7,11,0,0,5,1,0,1,11,0,1,0.22,0,0.52,0,0,1,13,12,12,0,0.24,0,0,0.97,0.97,0.96,3.56,0.94,0.22,0.64,0.12,1.73,1.35,0.94,0.94,0.94,4,1,1,6,1,0,0,2,0,0,2,3,4,0,0,6,4,0,2,3,1,1,0.11,0.14,0.69,0,0,1,6,5,5,2,0.06,0,0,1,1,1
NYR,2019,NYR,NYR,Team Level,all,3,0.42,0.46,0.46,10800,86.9,5.85,5.51,21.93,2.96,50.02,36.75,5.6,5.75,5.51,88,35,37,160,4,6,0,24,5,42,42,84,119,18,39,85,116,20,37,108,8,7,2.38,0.97,2.5,1,2,1,154.72,123,119.85,21,1.29,1.23,1.23,5.91,5.85,5.81,99.02,7.91,6.83,23.51,3.38,57.83,43.53,7.71,8.03,7.83,102,41,44,187,11,6,0,18,6,45,57,91,132,18,39,95,78,18,27,111,26,6,3.04,3.1,1.78,5,3,3,193.36,143,146.96,21,1.51,0.9,0.9,8.52,8.63,8.46
NYR,2019,NYR,NYR,Team Level,5on5,3,0.42,0.46,0.45,7744,61.52,3.76,3.47,16.47,2.02,34.02,26.27,3.52,3.67,3.44,66,20,31,117,2,6,0,19,3,29,27,64,84,15,30,52,104,17,27,74,8,4,1.81,0.97,0.98,0,2,0,111.72,86,82.85,18,0.71,1.23,1.23,3.24,3.18,3.15,73.21,5.1,4.7,17.84,2.34,42.28,31.74,4.99,5.21,5.1,72,32,35,139,8,5,0,14,4,32,41,64,96,14,28,69,71,13,19,82,18,4,2.05,2.17,0.88,4,3,1,145.36,104,107.96,14,0.96,0.82,0.82,5.24,5.35,5.28
NYR,2019,NYR,NYR,Team Level,4on5,3,0.05,0.13,0.17,1267,3.1,0.09,0.18,0.51,0.13,1.23,2.86,0.09,0.09,0.09,3,2,0,5,1,0,0,0,0,1,3,2,4,1,5,14,9,3,2,5,0,0,0.09,0,0,1,0,0,5,5,5,2,0.04,0,0,0.14,0.14,0.14,16.69,1.66,1.57,3.78,0.61,11.33,6.05,1.57,1.66,1.57,19,6,8,33,2,1,0,2,2,12,6,17,23,2,7,9,1,1,1,18,6,1,0.75,0.7,0.21,1,0,1,33,25,25,0,0.4,0.08,0.08,1.98,1.98,1.89
NYR,2019,NYR,NYR,Team Level,5on4,3,0.85,0.74,0.69,1308,13.83,1.26,1.17,3.2,0.49,8.65,5.24,1.26,1.26,1.26,11,9,5,25,0,0,0,2,2,7,9,11,20,2,4,14,2,0,7,18,0,2,0.27,0,0.99,0,0,0,25,20,20,1,0.31,0,0,1.56,1.56,1.56,5.56,0.22,0.34,1.25,0.31,2.49,4.39,0.22,0.22,0.22,7,2,0,9,0,0,0,0,0,1,8,7,9,2,4,11,2,4,5,8,1,0,0.13,0.09,0,0,0,0,9,9,9,5,0.08,0,0,0.3,0.3,0.29
NYI,2019,NYI,NYI,Team Level,other,22,0.54,0.43,0.43,3484,25.21,7.06,1.75,4.17,0.78,13.77,8.47,7.01,7.06,7.01,29,7,18,54,9,1,0,5,1,10,10,20,27,2,7,27,19,5,18,21,2,13,0.82,0.17,6.08,2,0,7,54,36,36,15,0.47,0.04,0.04,7.49,7.49,7.43,33.6,6,2.64,6.37,1.24,19.99,10.76,5.91,6,5.91,30,17,25,72,4,1,0,7,2,19,14,26,43,4,11,37,18,4,14,26,10,11,0.78,1.37,3.85,1,1,2,72,47,47,8,0.77,0.01,0.01,6.76,6.76,6.65
NYI,2019,NYI,NYI,Team Level,all,22,0.53,0.48,0.5,85220,664.19,67.99,46.78,151.46,21.84,374.03,268.91,64.86,68.79,65.66,660,271,354,1285,66,52,5,153,24,328,308,594,865,77,170,646,958,147,310,677,178,76,18.88,21.85,27.27,24,21,21,1295.81,931,941.53,178,10.33,13.26,13.26,65.06,65.89,64.09,671.45,59.19,45.2,158.37,21.8,375.24,277.2,56.91,58.94,56.67,644,293,456,1393,51,45,6,132,25,369,315,593,886,86,189,652,897,121,311,701,171,65,18.11,20.94,20.15,16,22,13,1380.24,937,930.63,200,9.94,9.59,9.59,59.54,59.34,57.99
NYI,2019,NYI,NYI,Team Level,5on5,22,0.52,0.47,0.49,68118,521.76,45.16,34.58,123.49,17.15,292.28,219.35,43.53,45.96,44.33,505,227,277,1009,44,35,1,122,17,262,252,461,688,62,137,484,885,122,224,541,150,41,15.32,18.42,11.42,19,18,7,1019.81,732,742.53,144,7.16,7.69,7.69,44.62,45.45,44.38,535.39,40.92,34.02,131.55,17.29,300.51,225.72,39.5,40.66,39.25,514,236,366,1116,35,33,4,106,20,299,257,479,715,73,160,519,834,90,253,581,133,36,14.5,16.29,10.13,13,16,6,1103.24,750,743.63,164,6.99,6.9,6.9,41.01,40.8,40.05
NYI,2019,NYI,NYI,Team Level,4on5,22,0.09,0.1,0.13,5684,12.64,1.12,0.6,1.64,0.39,4.13,9.13,1.12,1.12,1.12,16,1,3,20,1,0,0,2,0,3,11,15,16,6,12,49,38,13,18,13,2,2,0.29,0.32,0.51,0,1,0,20,17,17,17,0.14,0,0,1.26,1.26,1.26,83.27,11.05,7.79,17.52,2.68,48.61,26.34,10.28,11.05,10.28,78,36,63,177,12,10,2,14,3,45,30,66,102,8,16,46,15,3,16,73,23,18,2.21,2.67,6.17,2,5,5,177,114,114,2,2,2.57,2.57,10.49,10.49,9.99
NYI,2019,NYI,NYI,Team Level,5on4,22,0.92,0.88,0.85,7934,104.58,14.65,9.86,22.16,3.52,63.85,31.95,13.2,14.65,13.2,110,36,56,202,12,16,4,24,6,53,35,98,134,7,14,86,16,7,50,102,24,20,2.44,2.94,9.27,3,2,7,202,146,146,2,2.57,5.52,5.52,11.7,11.7,11.02,19.19,1.23,0.75,2.93,0.59,6.13,14.38,1.22,1.23,1.22,22,4,2,28,0,1,0,5,0,6,14,22,26,1,2,50,30,24,28,21,5,0,0.63,0.6,0,0,0,0,28,26,26,26,0.18,0.11,0.11,1.29,1.29,1.29
